1,gn,50,Gênesis
2,ex,40,Êxodo
3,lv,27,Levítico
4,nm,36,Números
5,dt,34,Deuteronômio
6,js,24,Josué
7,jz,21,Juízes
8,rt,4,Rute
9,1sm,31,1º Samuel
10,2sm,24,2º Samuel
11,1rs,22,1º Reis
12,2rs,25,2º Reis
13,1cr,29,1º Crônicas
14,2cr,36,2º Crônicas
15,ed,10,Esdras
16,ne,13,Neemias
17,et,10,Ester
18,j%C3%B3,42,Jó
19,sl,150,Salmos
20,pv,31,Provérbios
21,ec,12,Eclesiastes
22,ct,8,Cantares
23,is,66,Isaías
24,jr,52,Jeremias
25,lm,5,Lamentações de Jeremias
26,ez,48,Ezequiel
27,dn,12,Daniel
28,os,14,Oséias
29,jl,3,Joel
30,am,9,Amós
31,ob,1,Obadias
32,jn,4,Jonas
33,mq,7,Miquéias
34,na,3,Naum
35,hc,3,Habacuque
36,sf,3,Sofonias
37,ag,2,Ageu
38,zc,14,Zacarias
39,ml,4,Malaquias
40,mt,28,Mateus
41,mc,16,Marcos
42,lc,24,Lucas
43,jo,21,João
44,atos,28,Atos dos Apóstolos
45,rm,16,Romanos
46,1co,16,1ª Coríntios
47,2co,13,2ª Coríntios
48,gl,6,Gálatas
49,ef,6,Efésios
50,fp,4,Filipenses
51,cl,4,Colossenses
52,1ts,5,1ª Tessalonicenses
53,2ts,3,2ª Tessalonicenses
54,1tm,6,1ª Timóteo
55,2tm,4,2ª Timóteo
56,tt,3,Tito
57,fm,1,Filemom
58,hb,13,Hebreus
59,tg,5,Tiago
60,1pe,5,1ª Pedro
61,2pe,3,2ª Pedro
62,1jo,3,1ª João
63,2jo,1,2ª João
64,3jo,1,3ª João
65,jd,1,Judas
66,ap,22,Apocalipse
